Score,Title,Movement
400,Empress,15
375,Crown Prince,15
350,Baroness,15
340,Magnate,14
330,Councillor,14
320,Mayor,13
310,Manufacturer,13
300,Balloonist,12
290,Diplomat,12
280,Doctor,11
270,Astronomer,11
260,Inventor,10
250,Architect,10
240,Merchant,9
230,Photographer,9
220,Station Master,8
210,Harbourmaster,8
200,Captain,7
190,Ringmaster,7
180,Engineer,6
170,Farmer's Wife,6
160,Forest Ranger,5
150,Landlady,5
140,Actress,4
130,Night Watchman,4
120,Coachman,3
110,Fisherwoman,3
100,Newsboy,2
0,Vagabond,1
